,smiles,against_depression
79086,O=C(Nc1[n]c(c[s]1)-c1ccc(F)cc1)C1CCCO1,False
347035,O=C(Cc1ccc[s]1)N(C(c1c[s]cc1)C(=O)NC1CCCC1)c1ccccc1,False
893725,CCC(C)CNC(=O)CCC1(Cc2cc3ccccc3cc2)CCC(=O)N1,False
828524,Cc1ccc(cc1)S(=O)(=O)NC(=O)Nc1[n]c(CN2CCCC2)c[s]1,False
794693,COC(=O)c1cc(C)[s]c1NC(=S)NNC(=O)C(C)Oc1cc(C)c(Cl)c(C)c1,False
165348,Cc1cc(NC=Cc2[n][n][n][n]2-c2ccc(F)cc2)[n]o1,False
858628,COC(=O)C1Cc2cccc(OCC)c2OC1,False
513512,CC1(CCN1C(=O)Cc1ccc(Cl)cc1Cl)C(=O)NS(=O)(=O)c1cc(ccc1)C#N,False
848058,Cc1cc(ccc1)N1CCN(CC1C)c1[n]c([n]c2ccccc21)-c1ccc(cc1)Oc1ccccc1,False
102279,Nc1ccc(cc1)C(=O)OCCc1ccccc1,False
644679,CC1N=C2C=C(NN2C(=O)C=1CCC(=O)OCC)c1ccc(I)cc1,False
476315,CC(=O)c1c(C)c([nH]c1C)C(=O)Nc1cc(ccc1)S(=O)(=O)N(C)C,False
107849,FC(F)(F)c1cc(Cl)c([n]c1)-c1c[n]2[n]cc(c2[n]c1)-c1ccc(Cl)cc1,False
270781,OC(=O)c1c[n][n]2CCN(Cc3ccc[s]3)C(=O)c21,False
178738,COc1cc2C(CC(=O)Nc2cc1OC)c1ccccc1,False
597538,Cc1c(cc(-c2cc(ccc2)OC)[n]1-c1ccc(F)cc1)C(=O)N1CCC2(CC1)OCCO2,False
340130,COc1ccc(CC(=O)Nc2c(oc3ccccc32)C(=O)Nc2cc(Cl)c(F)cc2)cc1OC,False
171228,O=C(CCC(=O)Nc1ccc(Br)cc1)NN=Cc1ccccc1F,False
210621,O=C(Nc1[n][n]c(SCc2ccc(F)cc2)[s]1)c1ccc[n]c1Cl,False
324781,CCOC(=O)C1CCN(CC1)S(=O)(=O)CCNC(=O)c1ccccc1,False
717135,CS(=O)(=O)N(CC(=O)Nc1ccccc1C(O)=O)c1cc(Cl)ccc1,False
126510,Cc1cc2C(=O)C(O)=C(Oc2cc1)c1ccc(cc1)C(C)C,False
898868,COc1cc(CN2CC(CCO)N(Cc3ccc[s]3)CC2)ccc1,False
912569,CC1=CC(=O)C=C(C)N1c1ccc(cc1)N1C(C)=CC(=O)C=C1C,False
577411,CC1=Nc2ccccc2C1=CC1SC(=O)N(CC(=O)Nc2ccccc2F)C=1O,False
554244,CC(C)(C)NC(=O)CN(CC)c1[n]c([n]c2ccccc21)C(F)(F)F,False
623227,O=C1NCCN(CC(c2ccccc2)c2ccccc2)C1CC(=O)NCCC[n]1c[n]cc1,False
249045,O=C(COc1cc2ccccc2cc1)NC1C2CC3CC(CC1C3)C2,False
902719,C[n]1[n]c(CC(C)C)cc1C(=O)N1CCCC1c1ccc([s]1)C(=O)NC,False
312695,CCOc1c(cc(cc1OCC)C(=O)NC(=S)N[n]1c[n][n]c1)OCC,False
360469,Cc1cc(NC(=O)CN2C(=O)N(c3ccc(cc3OC)OC)C(=O)c3c2[s]c2CCCc32)[n][nH]1,False
764063,COc1cc(CSc2[n]c3CCCc3cc2C#N)ccc1,False
193029,CCCN1C(=NNC1=O)SCC(=O)NCc1ccccc1,False
762737,NC(=O)c1ccc(cc1)NC(=O)C=CC(O)=O,False
875064,COc1ccc(CC2=Nc3[s]c4CCCCc4c3C(=O)N2N)cc1OC,False
585247,O=C(NCCc1c[nH]c2ccccc12)C1CC(CN1)NC(=O)c1cc(F)ccc1,False
541654,CCN1CCN(CC1)C(=O)CN(c1cc(ccc1Cl)C(F)(F)F)S(C)(=O)=O,False
662479,CC(=O)N(C)c1ccc(cc1)NC(=O)COc1ccc(cc1)C(C)(C)C,False
215274,CC(=O)OCC1CSC2C(NC(=O)C[n]3[n]c(C(F)F)c(Cl)c3C)C(=O)N2C=1C(O)=O,False
75275,Cc1ccc(cc1)S(=O)(=O)CCC(=O)Nc1cc(Cl)ccc1,False
132818,Cc1c2OC(=O)C3CCCC=3c2cc2c1occ2-c1cc(F)c(cc1)OC,False
797920,Cc1ccccc1NC(=O)c1cc(ccc1N1CCOCC1)[N+]([O-])=O,False
976312,CN(C)C(=O)CN(C=O)c1c(CC)[n]c2c(ccc[n]12)OCCc1cc(ccc1)OC,False
945679,O=C(c1ccccc1)N1CCSC21CCN(CC2)S(=O)(=O)c1cccc2ccccc21,False
723259,CCCC(=O)Nc1cc(NC(=O)c2ccc(C)c(C)c2)c(Cl)cc1,False
787292,Cc1ccccc1N=C1SCC(C)(C)N1C(=O)c1ccc(cc1)C#N,False
183792,Cc1cc(ccc1C)NC1=NCC(C)S1,False
661014,O=S(=O)(C1=CC=CN2C1=NN(Cc1ccc(cc1)N1CCCC1=O)C2=O)N1CCCCC1,False
494593,Cl.CCOC(=O)Cc1ccc(cc1)NCc1ccc(Cl)cc1,False
678284,COc1cc(ccc1Oc1ccc(c[n]1)[N+]([O-])=O)C=C1C(=O)c2ccccc2C1=O,False
692164,C=CC[n]1c([n][n]c1SCC(=O)c1c[nH]c2ccccc21)-c1cc(Br)ccc1,False
464461,N#Cc1ccc(C=C(C#N)C(=O)N2CCCC2)cc1,False
233086,O=C1C2C3CC(C=C3)C2C(=O)N1c1cc(ccc1)C(F)(F)F,False
539697,CCCN1CCC(CC1)NC(=O)COc1ccc(F)cc1Cl,False
348642,Cc1[n]c2c(-c3ccccc3)c(C)[n][n]2c(C)c1CCC(=O)NCc1ccco1,False
680083,C[n]1c2ccccc2[n]c1CCNC(=O)c1ccc(Cl)cc1,False
576517,CN(Cc1[n]c([n]o1)-c1c[n]ccc1)C(=O)CC1COCCN1,False
815405,O=C(CSc1[n]ccc[n]1)NN=Cc1ccccc1Br,False
381877,CSCCC(NS(=O)(=O)c1ccc[s]1)C(=O)Nc1[n]c2ccc(cc2[s]1)OCC,False
665308,CC1(C)CC(CCO1)C(=O)COc1cc(O)c2c(c1)OC(=CC2=O)c1ccccc1,False
577829,Cc1ccc(OCCOCCOc2ccccc2F)c(c1)OC,False
920129,Cl.C(NCCC1CCCCC=1)c1cc2OCCOc2cc1,False
264544,CN(Cc1ccc(cc1)N(CC)CC)S(=O)(=O)c1ccc(F)cc1,False
645269,Cc1ccc(cc1)N1C(=O)C2C(SC(N)=C(C#N)C2c2ccc(cc2)OC)C1=O,False
663765,Cc1cc(C)c(NS(=O)(=O)c2ccc(cc2)NC(=O)c2[s]c3ccccc3c2Cl)c(C)c1,False
457066,CCCc1[s]c(cc1Br)C(=O)NCC1CCCO1,False
593018,CN(C)CCN(Cc1[n]cc[n]1Cc1cccc(c1)C(F)(F)F)C(=O)NCCC,False
810330,CCc1cc2c(N=C(SCC(=O)c3ccccc3)N(Cc3ccco3)C2=O)[s]1,False
834635,CCOc1[n]cccc1CNC(=O)c1cc(Cl)c2OCOc2c1,False
558910,COc1ccc(cc1OCC)C(=O)NCC(=O)Nc1ccc(F)c(F)c1F,False
832060,Cc1ccc(cc1)C(=O)NCC(=O)Nc1ccc(cc1)N1CCCCC1,False
832748,Cc1ccc(c(C)c1)N(c1[n]c(C[n]2c[n]c(C#N)[n]2)c[s]1)C(C)=O,False
423838,Cc1ccc(cc1C)NC(=O)c1cc(o[n]1)-c1cc(O)ccc1,False
429934,O=C(C[n]1cc(C=C2C(=O)NC(=S)NC2=O)c2ccccc12)Nc1ccccc1,False
726055,Cc1ccc(o1)C(=O)Nc1ccc(cc1)Oc1ccc(cc1)NC(=O)c1ccc(C)o1,False
632772,COc1cc(CN2CCSCC2)ccc1OCC(O)CN1CCCCCC1,False
975915,CC(C)SC(NC(=O)OCc1ccccc1)C(=O)N1CCC2(CC1)OCCCO2,False
94194,CNC(=S)Nc1cc2NC(=O)Nc2cc1,False
334029,O=C1C(=Cc2ccco2)Sc2[n]c([n][n]21)-c1ccccc1Br,False
206055,O=C(C=Cc1ccc[s]1)NCc1c[n]ccc1,False
719110,COc1cc(OC)c(cc1Cl)C1CC(ON=1)C(=O)NCc1ccco1,False
125960,O=C(CSc1ccc2[n][n]c(CCNC(=O)c3ccc(F)cc3)[n]2[n]1)NCC1CCCO1,False
622674,CC(C)CCN1CCNC(=O)C1CC(=O)NCc1ccc(cc1)OC,False
810765,Cc1cc(cc(C)c1)OCC(=O)NN=Cc1ccc([s]1)[N+]([O-])=O,False
451393,CC(=O)Nc1ccc(cc1)N1C(=O)c2ccc(cc2C1=O)S(=O)(=O)c1ccc(cc1)C(O)=O,False
949872,CCCOC(NC(=O)c1cc2OCOc2cc1)=NCCN(C)C,False
627756,O=C(c1cc2cc[nH]c2cc1)N1CC(C[n]2cc([n][n]2)C2CCCC2)CCC1,False
845980,[O-][N+](=O)c1cc(ccc1)C1c2ccc[n]2CCCN1Cc1ccccc1O,False
174049,O=C(CN(Cc1ccccc1F)C(=O)C[n]1[n]c([n][n]1)-c1ccc[s]1)NC1CCCCC1,False
302349,Cc1cc(ccc1C)N1C(=O)c2oc3ccccc3c2NC1=S,False
968194,O=C(CCN1CCC(CC1)c1[n][n]c2cccc[n]21)NC1CCCCCC1,False
491032,O=C1C=Cc2ccc(cc2O1)OCC(=O)N1CC2CC(C1)CN1C2=CC=CC1=O,False
727333,Cc1ccc(cc1)S(=O)(=O)N(CC(=O)Nc1ccc(cc1OC)OC)c1cc(Cl)ccc1C,False
314768,CC(C)N1CCC(CC1)N1CCN(CC1CCO)C1CCCC1,False
764720,Cc1cc(Cl)ccc1NC(=O)C(Cl)(Cl)Cl,False
892662,CC(=O)N1CCC(CC1)C(=O)NCC1Cc2cc(cc(Cl)c2O1)-c1cc[s]c1,False
402111,CC(C)(C)[n]1[n]c2CS(=O)Cc2c1NC(=O)c1ccc(Br)o1,False
13633,CC1(C)c2ccccc2N(C)C21C=Cc1cc(O)ccc1O2,False
614277,CCC1=CC(=O)Oc2cc(ccc12)OCC=Cc1ccccc1,False
86685,[O-][N+](=O)c1cccc2[nH]c(NC(=O)c3cc(ccc3)[N+]([O-])=O)[n]c12,False
106786,COc1ccc(cc1)-c1[nH]c([n]c1-c1ccc(cc1)OC)-c1ccc(F)cc1,False
152261,Cc1cc(c(C=C2C(=O)Nc3ccccc23)[nH]1)-c1ccc(N)cc1,False
898951,COCC1CN(CCC1)c1[n]c2[n]o[n]c2[n]c1NC1CCCC1,False
251509,N=C1c2ccccc2CN1NC(=O)CC12CC3CC(C1)CC(C2)C3,False
679588,CN1C(=O)c2c([n]ccc2SCC(=O)Nc2cc(Cl)ccc2)N(C)C1=O,False
772467,Cc1ccc(cc1)SCCC(=O)Nc1ccc(cc1)S(=O)(=O)N1CCCCC1,False
396928,COc1ccc(cc1)C1=Nc2ccccc2C(=O)N1c1[n]cc[s]1,False
526911,CN(Cc1cc[n]c2ccccc21)C(=O)c1c[n](Cc2ccc(F)cc2Cl)[n][n]1,False
6052,COc1ccc(cc1)C(=O)C(=O)c1ccc(cc1)OC,False
207404,Cc1[n]c2c(oc3ccc(Cl)cc32)c(Nc2ccccc2)[n]1,False
961437,COc1cc(CSc2[n][n]c(NC(=O)c3ccc(Cl)cc3Cl)[s]2)ccc1,False
149747,CN1CCN(CC1)C(c1[n][n][n][n]1Cc1ccccc1)c1ccccc1,False
627266,O=C(CSc1ccccc1)N1CC(CNC(=O)C2(CC2)c2ccc(Cl)cc2)CCC1,False
569543,O=C(NNC(=O)Cc1ccc(cc1)OC(F)(F)F)c1c[n][nH][n]1,False
260010,CN(C)c1ccc(C=Nc2[n]o[n]c2-c2ccccc2)cc1,False
403454,NC(=O)c1cc(ccc1N1CCCCC1)N1C(=O)C2CC=CCC2C1=O,False
290490,O=C(NCCc1cccc(Cl)c1)c1ccc(Br)o1,False
961897,CN(C)c1ccc(cc1CN(CCOC)C(=O)c1ccc[s]1)NC(=O)c1ccccc1Cl,False
216674,O=C(Cc1cc(ccc1)C(F)(F)F)NCC(c1ccco1)N1CCCCC1,False
523375,Cc1cc(C)c(C=NNC(=O)COc2ccccc2)c(C)c1,False
428773,Cc1cc(C)c(cc1)C(=O)CSC1NC(=O)C=C(O)N=1,False
174447,Cc1ccc(cc1)N(CC(=O)Nc1cc(Cl)c(F)cc1)S(=O)(=O)c1c(C)[n]oc1C,False
835575,O=C(NOCc1ccccc1)c1cc(Cl)ccc1-[n]1c[n][n][n]1,False
711099,COC(=O)c1ccc(cc1)NC(=S)NC(=O)CCN1C(=O)c2ccccc2C1=O,False
255167,CN(C)c1ccc(cc1)C(=O)N1N=C2CCCCCC2C1(O)C(F)(F)F,False
634890,NC(=O)c1ccccc1NC(=O)c1ccc[n]c1Cl,False
622856,CC1CN(Cc2cc(Cl)ccc2O1)Cc1cccc[n]1,False
927186,COCC1(CCCC1)NC(=O)CC1C(=O)N(C)C(=O)N1C,False
906768,CN1N=C(C2CCN(Cc3cc[n][n]3-c3ccccc3)CC2)N(CC)C1=O,False
52818,Cc1[n]c2cc([n][n]2c(C)c1CCC(=O)NC(C)c1cc2OCCOc2cc1)-c1ccc(Cl)cc1,False
921134,CC(C)=CC(=O)N1CC(CCC(=O)N(C)C2CCN(C)CC2)CCC1,False
